Date,Close,Open,High,Low,Volume,Fluctuation
20060104,941.43 ,926.56 ,941.43 ,926.41 ,21130.00 ,0.0195 
20060105,959.13 ,943.85 ,959.62 ,942.31 ,27310.00 ,0.0188 
20060106,970.03 ,961.91 ,975.63 ,956.04 ,30290.00 ,0.0114 
20060109,975.25 ,971.09 ,976.27 ,966.05 ,24330.00 ,0.0054 
20060110,978.15 ,975.28 ,978.28 ,964.43 ,22740.00 ,0.0030 
20060111,973.48 ,977.64 ,983.39 ,963.39 ,26520.00 ,-0.0048 
20060112,983.72 ,972.39 ,984.08 ,968.54 ,21900.00 ,0.0105 
20060113,978.81 ,985.04 ,988.11 ,973.68 ,22280.00 ,-0.0050 
20060116,961.44 ,977.89 ,977.89 ,960.88 ,20310.00 ,-0.0177 
20060117,964.29 ,959.39 ,965.98 ,952.23 ,16040.00 ,0.0030 
20060118,983.62 ,964.16 ,984.67 ,963.08 ,20820.00 ,0.0200 
20060119,991.22 ,985.23 ,992.27 ,978.28 ,26460.00 ,0.0077 
20060120,993.34 ,991.57 ,994.50 ,987.06 ,26150.00 ,0.0021 
20060123,996.16 ,993.74 ,997.33 ,989.34 ,22550.00 ,0.0028 
20060124,999.09 ,997.79 ,1006.15 ,993.39 ,24200.00 ,0.0029 
20060125,1009.60 ,998.83 ,1009.65 ,989.51 ,21800.00 ,0.0105 
20060205,1009.60 ,998.84 ,1009.65 ,989.51 ,21800.00 ,0.0000 
20060206,1033.23 ,1013.42 ,1033.35 ,1012.81 ,25040.00 ,0.0234 
20060207,1029.94 ,1034.68 ,1038.50 ,1019.94 ,32960.00 ,-0.0032 
20060208,1033.07 ,1028.44 ,1033.40 ,1022.94 ,26990.00 ,0.0030 
20060209,1019.60 ,1033.19 ,1033.19 ,1017.05 ,23840.00 ,-0.0130 
20060210,1032.34 ,1019.42 ,1032.60 ,1018.48 ,22020.00 ,0.0125 
20060213,1031.61 ,1034.38 ,1034.64 ,1021.84 ,22160.00 ,-0.0007 
20060214,1038.53 ,1032.64 ,1038.81 ,1030.46 ,18560.00 ,0.0067 
20060215,1041.66 ,1040.33 ,1048.34 ,1038.74 ,24790.00 ,0.0030 
20060216,1020.12 ,1041.66 ,1041.66 ,1019.21 ,26160.00 ,-0.0207 
20060217,1020.37 ,1020.06 ,1028.57 ,1015.99 ,21030.00 ,0.0002 
20060220,1021.64 ,1020.74 ,1030.05 ,1020.01 ,18820.00 ,0.0012 
20060221,1038.82 ,1020.98 ,1038.94 ,1014.66 ,23680.00 ,0.0168 
20060222,1037.88 ,1039.65 ,1046.45 ,1036.38 ,25380.00 ,-0.0009 
20060223,1041.37 ,1038.25 ,1041.59 ,1029.25 ,19790.00 ,0.0034 
20060224,1049.44 ,1041.97 ,1049.69 ,1041.97 ,19680.00 ,0.0077 
20060227,1047.85 ,1055.95 ,1057.22 ,1045.97 ,22870.00 ,-0.0015 
20060228,1053.01 ,1046.71 ,1053.72 ,1033.66 ,19350.00 ,0.0049 
20060301,1056.62 ,1051.76 ,1057.69 ,1049.64 ,19430.00 ,0.0034 
20060302,1038.67 ,1055.86 ,1056.05 ,1034.68 ,24880.00 ,-0.0170 
20060303,1041.68 ,1037.99 ,1043.42 ,1029.56 ,21200.00 ,0.0029 
20060306,1038.87 ,1041.66 ,1044.42 ,1036.11 ,17870.00 ,-0.0027 
20060307,1014.97 ,1037.93 ,1037.98 ,1013.14 ,19340.00 ,-0.0230 
20060308,1009.27 ,1012.58 ,1014.97 ,999.93 ,17460.00 ,-0.0056 
20060309,1004.34 ,1006.97 ,1010.91 ,1002.20 ,12740.00 ,-0.0049 
20060310,1008.90 ,1004.75 ,1011.76 ,1004.69 ,11890.00 ,0.0045 
20060313,1019.86 ,1008.80 ,1020.88 ,1008.51 ,11770.00 ,0.0109 
20060314,1018.27 ,1020.47 ,1021.65 ,1012.11 ,11350.00 ,-0.0016 
20060315,1028.96 ,1018.15 ,1028.96 ,1017.08 ,14840.00 ,0.0105 
20060316,1027.62 ,1028.96 ,1029.81 ,1025.52 ,14780.00 ,-0.0013 
20060317,1024.02 ,1027.64 ,1029.56 ,1021.08 ,15000.00 ,-0.0035 
20060320,1037.66 ,1024.50 ,1037.91 ,1019.65 ,15390.00 ,0.0133 
20060321,1040.76 ,1037.95 ,1047.05 ,1036.23 ,19080.00 ,0.0030 
20060322,1047.67 ,1041.14 ,1047.94 ,1036.71 ,18640.00 ,0.0066 
20060323,1048.54 ,1047.35 ,1049.33 ,1042.83 ,20470.00 ,0.0008 
20060324,1042.60 ,1049.12 ,1051.76 ,1041.23 ,20100.00 ,-0.0057 
20060327,1050.71 ,1042.63 ,1050.71 ,1037.08 ,17130.00 ,0.0078 
20060328,1055.98 ,1050.07 ,1056.52 ,1048.64 ,22270.00 ,0.0050 
20060329,1065.29 ,1058.74 ,1074.04 ,1057.68 ,30530.00 ,0.0088 
20060330,1055.63 ,1065.84 ,1067.99 ,1055.14 ,22010.00 ,-0.0091 
20060331,1061.09 ,1053.85 ,1061.47 ,1050.22 ,22280.00 ,0.0052 
20060403,1079.32 ,1061.96 ,1079.37 ,1061.96 ,27730.00 ,0.0172 
20060404,1089.37 ,1080.86 ,1089.37 ,1076.20 ,31150.00 ,0.0093 
20060405,1099.97 ,1091.17 ,1100.56 ,1089.55 ,32940.00 ,0.0097 
20060406,1103.24 ,1102.54 ,1109.68 ,1097.32 ,36170.00 ,0.0030 
20060407,1103.15 ,1102.94 ,1105.10 ,1091.89 ,32570.00 ,-0.0001 
20060410,1117.91 ,1104.32 ,1118.08 ,1100.69 ,32070.00 ,0.0134 
20060411,1123.31 ,1120.16 ,1126.09 ,1112.01 ,35610.00 ,0.0048 
20060412,1117.07 ,1123.78 ,1123.78 ,1116.15 ,30330.00 ,-0.0056 
