Ntime,Open_us,High_us,Low_us,ClosePrice,AdjClose,Volume_us,Date,Close_cn,Open_cn,High_cn,Low_cn,Volume_cn,Fluctuation
20050331,1165.359985,1181.540039,1165.359985,1181.410034,1181.410034,2097110000,20050331,942.2,934.85,942.37,928.34,7860,0.0055
20050405,1172.790039,1178.609985,1167.719971,1176.119995,1176.119995,2079770000,20050405,955.6,960.54,967.75,953.59,9540,-0.0068
20050406,1176.119995,1183.560059,1176.119995,1181.390015,1181.390015,1870800000,20050406,973.67,955.6,977.86,948.95,14280,0.0189
20050407,1181.390015,1189.339966,1181.390015,1184.069946,1184.069946,1797400000,20050407,984.73,975.97,1000.27,974.31,20750,0.0114
20050408,1184.069946,1191.880005,1183.810059,1191.140015,1191.140015,1900620000,20050408,1003.45,984.66,1003.7,979.53,14760,0.019
20050412,1181.199951,1184.069946,1178.689941,1181.209961,1181.209961,1525310000,20050412,978.7,993.71,993.71,978.2,10230,-0.0168
20050413,1181.209961,1190.170044,1170.849976,1187.76001,1187.76001,1979830000,20050413,1000.9,987.95,1006.5,987.95,16070,0.0227
20050414,1187.76001,1187.76001,1171.400024,1173.790039,1173.790039,2049740000,20050414,986.98,1004.64,1006.42,985.58,12950,-0.0139
20050415,1173.790039,1174.670044,1161.699951,1162.050049,1162.050049,2355040000,20050415,974.08,982.61,982.61,971.93,10410,-0.0131
20050419,1142.619995,1148.920044,1139.800049,1145.97998,1145.97998,2180670000,20050419,965.89,962.92,968.87,957.91,9210,0.0022
20050420,1145.97998,1154.670044,1145.97998,1152.780029,1152.780029,2142700000,20050420,950.87,964.15,964.15,946.2,8850,-0.0156
20050421,1152.780029,1155.5,1136.150024,1137.5,1137.5,2217050000,20050421,943.98,948.86,955.55,938.6,9950,-0.0072
20050422,1137.5,1159.949951,1137.5,1159.949951,1159.949951,2308560000,20050422,939.1,942.91,947.91,934.96,10690,-0.0052
20050426,1152.119995,1164.050049,1152.119995,1162.099976,1162.099976,1795030000,20050426,937.08,928.43,939.7,924.65,11690,0.0075
20050427,1162.099976,1164.800049,1151.829956,1151.829956,1151.829956,1959740000,20050427,926.6,938.57,938.91,925.9,10780,-0.0112
20050428,1151.73999,1159.869995,1144.420044,1156.380005,1156.380005,2151520000,20050428,942.07,923.53,945.5,914.83,14340,0.0167
20050429,1156.380005,1156.380005,1143.219971,1143.219971,1143.219971,2182270000,20050429,932.39,940.81,942.45,929.81,11240,-0.0103
20050510,1171.349976,1178.869995,1169.380005,1178.839966,1178.839966,1857020000,20050510,913.08,905.54,913.39,892.31,10490,0.0043
20050511,1178.839966,1178.839966,1162.97998,1166.219971,1166.219971,1889660000,20050511,901.85,911.84,917.22,900.44,9040,-0.0123
20050512,1166.219971,1171.77002,1157.709961,1171.109985,1171.109985,1834970000,20050512,885.82,899.97,900.06,883.51,10230,-0.0178
20050513,1171.109985,1173.369995,1157.76001,1159.359985,1159.359985,1995290000,20050513,887.54,883.5,898.5,875.58,11250,0.0019
20050517,1154.050049,1165.75,1153.640015,1165.689941,1165.689941,1856860000,20050517,881.46,873.08,888.28,868.21,8770,0.0071
20050518,1165.689941,1174.349976,1159.859985,1173.800049,1173.800049,1887260000,20050518,883.2,881.14,890.4,871.82,7880,0.002
20050519,1173.800049,1187.900024,1173.800049,1185.560059,1185.560059,2266320000,20050519,884.17,882.84,888.02,871.29,8150,0.0011
20050520,1185.560059,1191.089966,1184.48999,1191.079956,1191.079956,1775860000,20050520,882.76,883.51,891.02,879.18,7230,-0.0016
20050524,1189.280029,1197.439941,1188.76001,1193.859985,1193.859985,1681170000,20050524,868.46,861.2,871.77,855.59,9210,0.0059
20050525,1193.859985,1195.290039,1189.869995,1194.069946,1194.069946,1681000000,20050525,868.45,867.66,876.3,861.66,7240,0
20050526,1194.069946,1194.069946,1185.959961,1190.01001,1190.01001,1742180000,20050526,857.33,867.76,872.84,854.96,6620,-0.0128
20050527,1190.01001,1198.949951,1190.01001,1197.619995,1197.619995,1654110000,20050527,849.51,855.6,864.96,848.4,7750,-0.0091
